ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,3-2,Credits_3-2,4-1,Credits_4-1,4-2,Credits_4-2,Total Credits,CGPA,Supplementary Appearances
21031A0101,0.0,13.5,0.0,13.5,0.0,22.5,0.0,12.5,0.0,15.5,0.0,12.5,0.0,20.0,10.0,8.0,118.0,0.0,**********************
21031A0102,7.13,19.5,5.77,19.5,6.94,25.5,6.47,21.5,7.26,21.5,6.98,21.5,7.78,23.0,9.0,8.0,160.0,7.03,*******
21031A0103,7.13,19.5,6.69,19.5,8.24,25.5,7.14,21.5,7.33,21.5,7.28,21.5,7.13,23.0,10.0,8.0,160.0,7.45,
21031A0104,8.23,19.5,7.77,19.5,8.0,25.5,8.67,21.5,9.16,21.5,8.95,21.5,8.67,24.0,10.0,8.0,161.0,8.57,
21031A0105,0.0,16.5,0.0,16.5,0.0,19.5,0.0,18.5,0.0,18.5,0.0,18.5,0.0,17.0,10.0,8.0,133.0,0.0,**********************
21031A0106,7.41,19.5,6.31,19.5,7.76,25.5,7.37,21.5,7.47,21.5,7.74,21.5,7.13,23.0,10.0,8.0,160.0,7.47,**
21031A0107,5.82,19.5,0.0,16.5,6.82,25.5,5.81,21.5,7.16,21.5,6.84,21.5,7.45,20.0,10.0,8.0,154.0,0.0,*************
21031A0108,0.0,13.5,0.0,16.5,0.0,22.5,0.0,18.5,6.37,21.5,6.63,21.5,6.48,23.0,10.0,8.0,145.0,0.0,*******************
21031A0109,6.44,19.5,6.46,19.5,6.92,25.5,7.0,21.5,6.86,21.5,6.56,21.5,6.61,23.0,10.0,8.0,160.0,6.87,**
21031A0110,6.51,19.5,5.77,19.5,6.67,25.5,5.95,21.5,6.51,21.5,6.93,21.5,0.0,20.0,10.0,8.0,157.0,0.0,**********
21031A0111,6.77,19.5,6.08,19.5,0.0,22.5,6.51,21.5,7.44,21.5,7.4,21.5,7.65,23.0,10.0,8.0,157.0,0.0,********
21031A0112,6.51,19.5,6.46,19.5,6.53,25.5,5.88,21.5,6.86,21.5,6.91,21.5,6.61,23.0,10.0,8.0,160.0,6.71,*************
21031A0113,6.41,19.5,0.0,16.5,0.0,22.5,6.42,21.5,7.09,21.5,6.63,21.5,0.0,20.0,10.0,8.0,151.0,0.0,**************
21031A0114,7.13,19.5,6.69,19.5,7.82,25.5,6.84,21.5,7.74,21.5,7.6,21.5,6.74,23.0,10.0,8.0,160.0,7.38,
21031A0115,0.0,16.5,6.38,19.5,6.78,25.5,6.12,21.5,7.09,21.5,6.56,21.5,6.74,23.0,10.0,8.0,157.0,0.0,********
21031A0116,0.0,7.5,0.0,16.5,0.0,13.5,0.0,9.5,0.0,15.5,0.0,6.5,0.0,20.0,10.0,8.0,97.0,0.0,**********************
21031A0117,0.0,18.5,6.23,19.5,6.88,25.5,7.35,21.5,7.09,21.5,6.91,21.5,7.13,23.0,10.0,8.0,159.0,0.0,*****
21031A0118,6.41,19.5,0.0,18.0,6.94,25.5,7.09,21.5,7.6,21.5,7.33,21.5,7.65,23.0,9.0,8.0,158.5,0.0,****
21031A0119,0.0,10.5,0.0,9.0,0.0,22.5,0.0,9.5,0.0,15.5,0.0,6.5,0.0,17.0,10.0,8.0,98.5,0.0,************
21031A0120,0.0,10.5,0.0,16.5,0.0,22.5,0.0,15.5,0.0,18.5,0.0,18.5,6.61,23.0,10.0,8.0,133.0,0.0,*********************
21031A0121,7.46,19.5,7.23,19.5,7.73,25.5,7.91,21.5,8.6,21.5,7.63,21.5,7.78,23.0,10.0,8.0,160.0,7.88,
21031A0122,6.95,19.5,6.46,19.5,7.24,25.5,6.86,21.5,8.02,21.5,7.47,21.5,7.52,23.0,10.0,8.0,160.0,7.37,*****
21031A0123,6.36,19.5,6.08,19.5,6.9,25.5,6.3,21.5,7.95,21.5,7.14,21.5,7.26,23.0,9.0,8.0,160.0,6.98,***************
21031A0124,7.36,19.5,7.23,19.5,7.76,25.5,7.12,21.5,8.16,21.5,7.56,21.5,7.52,23.0,10.0,8.0,160.0,7.67,*
21031A0125,0.0,16.5,0.0,9.0,0.0,12.0,0.0,0.0,,,,,,,,,37.5,0.0,**
21031A0126,6.92,19.5,6.15,19.5,7.39,25.5,6.53,21.5,7.4,21.5,7.19,21.5,7.0,23.0,10.0,8.0,160.0,7.11,
21031A0127,6.44,19.5,6.15,19.5,6.94,25.5,6.44,21.5,7.26,21.5,7.42,21.5,7.0,23.0,9.0,8.0,160.0,6.93,**********
21031A0128,0.0,10.5,0.0,7.5,0.0,10.5,0.0,6.5,,,,,,,,,35.0,0.0,********
21031A0129,6.72,19.5,0.0,18.0,7.12,25.5,6.74,21.5,6.91,21.5,7.28,21.5,7.39,23.0,10.0,8.0,158.5,0.0,*****
21031A0130,7.23,19.5,6.92,19.5,7.75,25.5,7.3,21.5,8.58,21.5,8.09,21.5,7.52,23.0,10.0,8.0,160.0,7.76,**
21031A0131,0.0,16.5,0.0,12.0,0.0,22.5,0.0,18.5,6.6,21.5,6.42,21.5,6.87,23.0,10.0,8.0,143.5,0.0,****************
21031A0132,6.67,19.5,6.08,19.5,6.59,25.5,6.02,21.5,6.77,21.5,6.7,21.5,6.74,23.0,10.0,8.0,160.0,6.69,***
21031A0133,6.21,19.5,5.92,19.5,7.51,25.5,6.51,21.5,6.7,21.5,6.77,21.5,7.39,23.0,10.0,8.0,160.0,6.92,*********
21031A0134,0.0,16.5,0.0,18.0,0.0,22.5,0.0,18.5,6.6,21.5,6.91,21.5,6.61,23.0,10.0,8.0,149.5,0.0,******************
21031A0135,0.0,16.5,6.15,19.5,6.88,25.5,6.09,21.5,7.09,21.5,6.35,21.5,6.87,23.0,10.0,8.0,157.0,0.0,**********
21031A0136,0.0,16.5,6.23,19.5,6.29,25.5,6.16,21.5,6.4,21.5,6.72,21.5,6.48,23.0,10.0,8.0,157.0,0.0,************
21031A0137,6.56,19.5,6.08,19.5,6.88,25.5,6.37,21.5,7.6,21.5,7.77,21.5,7.3,23.0,9.0,8.0,160.0,7.06,********
21031A0138,6.49,19.5,6.15,19.5,7.29,25.5,6.77,21.5,7.67,21.5,7.49,21.5,7.91,23.0,10.0,8.0,160.0,7.29,********
21031A0139,6.54,19.5,6.23,19.5,7.1,25.5,6.72,21.5,7.05,21.5,7.42,21.5,7.17,23.0,10.0,8.0,160.0,7.07,***
21031A0140,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,
21031A0201,6.23,19.5,5.85,19.5,7.55,25.5,6.88,21.5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,92.5,0.0,****
21031A0202,5.85,19.5,0.0,16.5,6.73,25.5,6.4,21.5,6.95,21.5,6.67,21.5,7.22,23.0,10.0,8.0,157.0,0.0,*************
21031A0203,6.62,19.5,5.85,19.5,6.61,25.5,6.56,21.5,6.51,21.5,6.35,21.5,6.57,23.0,10.0,8.0,160.0,6.63,*******
21031A0204,5.85,19.5,0.0,16.5,7.35,25.5,6.51,21.5,7.0,21.5,6.4,21.5,6.78,23.0,10.0,8.0,157.0,0.0,**********
21031A0205,8.0,19.5,7.69,19.5,9.06,25.5,8.21,21.5,7.72,21.5,7.51,21.5,7.57,23.0,10.0,8.0,160.0,8.09,
21031A0206,7.77,19.5,7.92,19.5,8.84,25.5,8.0,21.5,7.14,21.5,7.6,21.5,8.3,23.0,10.0,8.0,160.0,8.07,
21031A0207,7.0,19.5,6.85,19.5,7.47,25.5,6.88,21.5,7.44,21.5,6.91,21.5,7.26,23.0,10.0,8.0,160.0,7.27,***
21031A0208,7.69,19.5,7.77,19.5,7.41,25.5,7.37,21.5,7.56,21.5,7.53,21.5,7.7,23.0,10.0,8.0,160.0,7.69,*
21031A0209,6.15,19.5,0.0,16.5,6.98,25.5,6.49,21.5,6.44,21.5,6.67,21.5,6.74,23.0,10.0,8.0,157.0,0.0,************
21031A0210,5.69,19.5,6.23,19.5,6.8,25.5,6.33,21.5,6.02,21.5,6.19,21.5,6.7,23.0,10.0,8.0,160.0,6.49,*********
21031A0211,7.62,19.5,6.92,19.5,6.94,25.5,6.86,21.5,7.63,21.5,7.37,21.5,7.57,23.0,10.0,8.0,160.0,7.4,
21031A0212,6.31,19.5,6.38,19.5,6.84,25.5,6.07,21.5,7.23,21.5,6.67,21.5,6.91,23.0,10.0,8.0,160.0,6.81,******
21031A0213,7.15,19.5,6.77,19.5,7.94,25.5,6.79,21.5,6.86,21.5,6.74,21.5,6.83,23.0,10.0,8.0,160.0,7.18,**
21031A0214,6.38,19.5,7.08,19.5,7.69,25.5,6.16,21.5,6.65,21.5,6.6,21.5,6.96,23.0,10.0,8.0,160.0,6.97,***
21031A0215,6.77,19.5,0.0,16.5,7.02,25.5,6.4,21.5,7.37,21.5,6.88,21.5,6.91,23.0,10.0,8.0,157.0,0.0,********
21031A0216,6.0,19.5,6.38,19.5,6.55,25.5,6.77,21.5,6.53,21.5,6.7,21.5,7.0,23.0,10.0,8.0,160.0,6.75,*****************
21031A0217,0.0,13.5,0.0,10.5,0.0,22.5,0.0,5.0,0.0,9.5,0.0,3.0,6.17,23.0,9.0,8.0,95.0,0.0,************
21031A0218,6.08,19.5,6.38,19.5,7.33,25.5,6.81,21.5,6.86,21.5,6.84,21.5,6.57,23.0,10.0,8.0,160.0,6.89,***
21031A0219,6.92,19.5,6.15,19.5,6.82,25.5,6.6,21.5,7.21,21.5,6.53,21.5,7.26,23.0,10.0,8.0,160.0,6.96,***
21031A0220,0.0,10.5,0.0,10.5,0.0,10.5,0.0,0.0,0.0,14.0,,,,,,,45.5,0.0,************
21031A0221,6.77,19.5,6.31,19.5,7.8,25.5,6.47,21.5,6.49,21.5,6.63,21.5,6.87,23.0,10.0,8.0,160.0,6.96,*****
21031A0222,6.31,19.5,7.08,19.5,7.8,25.5,6.74,21.5,7.4,21.5,6.86,21.5,7.52,23.0,10.0,8.0,160.0,7.28,**
21031A0223,6.54,19.5,6.92,19.5,7.27,25.5,6.93,21.5,6.79,21.5,6.63,21.5,7.17,23.0,10.0,8.0,160.0,7.06,*****
21031A0224,7.46,19.5,7.77,19.5,8.24,25.5,7.42,21.5,8.35,21.5,8.21,21.5,8.57,23.0,10.0,8.0,160.0,8.12,
21031A0225,5.92,19.5,6.0,19.5,6.78,25.5,6.44,21.5,6.07,21.5,6.33,21.5,0.0,20.0,10.0,8.0,157.0,0.0,****
21031A0226,6.0,19.5,6.31,19.5,6.59,25.5,6.47,21.5,7.07,21.5,6.88,21.5,6.22,23.0,10.0,8.0,160.0,6.69,*****
21031A0227,6.38,19.5,6.08,19.5,6.86,25.5,6.05,21.5,6.67,21.5,6.4,21.5,6.91,23.0,10.0,8.0,160.0,6.67,******
21031A0228,0.0,13.5,0.0,0.0,,,,,,,,,,,,,13.5,0.0,*
21031A0229,7.08,19.5,6.31,19.5,7.04,25.5,6.86,21.5,7.49,21.5,7.37,21.5,7.83,23.0,10.0,8.0,160.0,7.3,******
21031A0230,6.46,19.5,6.85,19.5,8.59,25.5,7.02,21.5,7.35,21.5,7.09,21.5,6.57,23.0,10.0,8.0,160.0,7.32,*
21031A0231,0.0,10.5,0.0,10.5,,,,,,,,,,,,,21.0,0.0,*
21031A0232,7.23,19.5,7.92,19.5,8.41,25.5,7.4,21.5,7.44,21.5,6.98,21.5,6.65,23.0,10.0,8.0,160.0,7.57,*
21031A0233,6.46,19.5,7.0,19.5,6.96,25.5,6.74,21.5,6.51,21.5,0.0,18.5,6.87,23.0,10.0,8.0,157.0,0.0,***
21031A0234,7.08,19.5,7.0,19.5,7.04,25.5,6.88,21.5,7.49,21.5,6.84,21.5,8.22,23.0,10.0,8.0,160.0,7.37,*
21031A0235,0.0,4.5,0.0,0.0,,,,,,,,,,,,,4.5,0.0,*
21031A0236,5.77,19.5,5.92,19.5,7.63,25.5,7.14,21.5,6.63,21.5,7.65,21.5,7.26,23.0,10.0,8.0,160.0,7.06,****
21031A0237,6.54,19.5,6.31,19.5,7.27,25.5,6.95,21.5,7.21,21.5,7.23,21.5,7.52,23.0,10.0,8.0,160.0,7.18,****
21031A0238,6.38,19.5,6.62,19.5,7.24,25.5,6.86,21.5,7.35,21.5,6.98,21.5,7.83,23.0,10.0,8.0,160.0,7.21,*****
21031A0239,7.31,19.5,7.92,19.5,8.51,25.5,7.44,21.5,8.4,21.5,7.35,21.5,7.71,24.0,10.0,8.0,161.0,7.94,
21031A0301,0.0,10.5,0.0,3.0,,,,,,,,,,,,,13.5,0.0,*
21031A0302,5.69,19.5,0.0,16.5,6.82,25.5,0.0,15.5,0.0,18.5,6.49,21.5,0.0,20.0,10.0,8.0,145.0,0.0,***************
21031A0303,6.69,19.5,7.38,19.5,7.63,25.5,8.19,21.5,7.81,21.5,7.49,21.5,7.65,23.0,10.0,8.0,160.0,7.69,*
21031A0304,6.08,19.5,7.31,19.5,7.75,25.5,8.05,21.5,7.19,21.5,7.81,21.5,8.57,23.0,10.0,8.0,160.0,7.7,
21031A0305,5.54,19.5,0.0,16.5,0.0,22.5,6.72,21.5,6.91,21.5,7.12,21.5,7.3,23.0,10.0,8.0,154.0,0.0,*********
21031A0306,5.85,19.5,6.15,19.5,7.0,25.5,6.93,21.5,6.74,21.5,7.56,21.5,7.26,23.0,10.0,8.0,160.0,6.97,****
21031A0307,0.0,16.5,0.0,16.5,7.29,25.5,8.19,21.5,7.63,21.5,7.63,21.5,7.65,23.0,10.0,8.0,154.0,0.0,********
21031A0308,6.15,19.5,6.54,19.5,8.12,25.5,7.79,21.5,7.63,21.5,7.47,21.5,7.91,23.0,10.0,8.0,160.0,7.55,**
21031A0309,6.54,19.5,0.0,16.5,7.41,25.5,6.81,21.5,7.0,21.5,6.95,21.5,7.65,23.0,10.0,8.0,157.0,0.0,**************
21031A0310,6.38,19.5,6.77,19.5,8.18,25.5,8.07,21.5,7.98,21.5,7.86,21.5,7.91,23.0,10.0,8.0,160.0,7.76,**
21031A0311,6.31,19.5,0.0,16.5,6.71,25.5,7.16,21.5,7.72,21.5,7.4,21.5,8.04,23.0,10.0,8.0,157.0,0.0,*********
21031A0312,0.0,10.5,6.46,19.5,0.0,16.5,0.0,0.0,,,,,,,,,46.5,0.0,****
21031A0313,7.08,19.5,6.46,19.5,7.8,25.5,7.16,21.5,7.07,21.5,6.98,21.5,7.91,23.0,10.0,8.0,160.0,7.38,*****
21031A0314,5.54,19.5,0.0,16.5,0.0,22.5,6.47,21.5,6.3,21.5,6.74,21.5,7.52,23.0,10.0,8.0,154.0,0.0,***************
21031A0315,0.0,16.5,6.15,19.5,6.98,25.5,6.86,21.5,7.02,21.5,7.4,21.5,7.39,23.0,10.0,8.0,157.0,0.0,*************
