ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,Total Credits,CGPA,Supplementary Appearances
22031A0101,5.77,19.5,0.0,16.5,6.41,25.5,0.0,18.5,7.05,21.5,101.5,0.0,******
22031A0102,5.77,19.5,0.0,16.5,7.45,25.5,7.28,21.5,7.12,21.5,104.5,0.0,****
22031A0104,0.0,13.5,0.0,7.5,0.0,10.5,0.0,12.5,6.72,21.5,65.5,0.0,********
22031A0105,0.0,16.5,0.0,13.5,6.02,25.5,0.0,15.5,7.19,21.5,92.5,0.0,****
22031A0106,0.0,7.5,0.0,3.0,0.0,22.5,0.0,15.5,6.35,21.5,70.0,0.0,****
22031A0107,5.92,19.5,0.0,16.5,6.18,25.5,6.47,21.5,7.77,21.5,104.5,0.0,**
22031A0108,0.0,13.5,0.0,16.5,0.0,19.5,0.0,9.5,0.0,18.5,77.5,0.0,*******
22031A0109,0.0,13.5,6.08,19.5,0.0,22.5,7.19,21.5,7.14,21.5,98.5,0.0,******
22031A0110,0.0,16.5,0.0,13.5,0.0,22.5,6.67,21.5,7.21,21.5,95.5,0.0,********
22031A0112,0.0,13.5,0.0,13.5,0.0,19.5,0.0,18.5,0.0,18.5,83.5,0.0,******
22031A0113,0.0,1.5,,,,,,,,,1.5,0.0,
22031A0114,0.0,10.5,0.0,4.5,0.0,10.5,0.0,15.5,6.35,21.5,62.5,0.0,*******
22031A0115,0.0,13.5,0.0,13.5,0.0,22.5,0.0,18.5,0.0,18.5,86.5,0.0,********
22031A0116,6.1,19.5,0.0,16.5,0.0,16.5,0.0,18.5,6.21,21.5,92.5,0.0,********
22031A0117,0.0,10.5,0.0,13.5,0.0,16.5,0.0,9.5,0.0,6.5,56.5,0.0,******
22031A0201,6.31,19.5,5.85,19.5,6.18,25.5,6.56,21.5,5.84,21.5,107.5,6.15,
22031A0202,0.0,16.5,0.0,13.5,0.0,16.5,0.0,18.5,0.0,14.0,79.0,0.0,*********
22031A0203,6.31,19.5,6.54,19.5,0.0,22.5,6.21,21.5,0.0,9.5,92.5,0.0,******
22031A0204,0.0,10.5,0.0,12.0,0.0,16.5,0.0,15.5,,,54.5,0.0,****
22031A0205,0.0,13.5,0.0,13.5,6.67,25.5,7.0,21.5,0.0,18.5,92.5,0.0,*******
22031A0206,5.77,19.5,0.0,10.5,0.0,13.5,0.0,18.5,,,62.0,0.0,**
22031A0207,5.92,19.5,0.0,16.5,7.1,25.5,6.12,21.5,5.95,21.5,104.5,0.0,********
22031A0208,5.54,19.5,0.0,16.5,5.94,25.5,0.0,18.5,5.28,21.5,101.5,0.0,*******
22031A0209,0.0,13.5,0.0,10.5,0.0,13.5,0.0,12.5,,,50.0,0.0,*
22031A0210,0.0,16.5,0.0,10.5,0.0,10.5,0.0,12.5,0.0,9.5,59.5,0.0,******
22031A0211,0.0,10.5,0.0,16.5,6.45,25.5,0.0,18.5,,,71.0,0.0,***
22031A0212,5.92,19.5,6.38,19.5,6.49,25.5,6.26,21.5,5.74,21.5,107.5,6.17,*
22031A0213,6.08,19.5,5.2,15.0,6.04,25.5,0.0,18.5,0.0,17.0,95.5,0.0,**
22031A0214,6.69,19.5,6.85,19.5,7.45,25.5,7.56,21.5,7.21,21.5,107.5,7.18,
22031A0215,6.31,19.5,6.69,19.5,7.29,25.5,7.21,21.5,6.7,21.5,107.5,6.87,****
22031A0216,0.0,13.5,,,,,,,,,13.5,0.0,
22031A0217,6.92,19.5,6.69,19.5,7.71,25.5,7.56,21.5,7.91,21.5,107.5,7.39,
22031A0218,8.0,19.5,8.38,19.5,9.0,25.5,8.47,21.5,8.14,21.5,107.5,8.43,
22031A0219,0.0,7.5,0.0,13.5,0.0,10.5,0.0,12.5,0.0,14.0,58.0,0.0,*********
22031A0220,7.08,19.5,6.38,19.5,7.75,25.5,7.35,21.5,0.0,18.5,104.5,0.0,
22031A0221,0.0,10.5,0.0,3.0,0.0,10.5,0.0,6.5,,,30.5,0.0,**
22031A0222,6.54,19.5,6.85,19.5,7.02,25.5,6.58,21.5,6.63,21.5,107.5,6.74,*****
22031A0223,0.0,16.5,0.0,7.5,0.0,22.5,0.0,18.5,0.0,18.5,83.5,0.0,*****
22031A0224,0.0,10.5,0.0,16.5,0.0,19.5,0.0,12.5,0.0,8.0,67.0,0.0,****
22031A0225,7.62,19.5,7.0,19.5,7.86,25.5,8.53,21.5,7.0,21.5,107.5,7.62,*
22031A0226,7.31,19.5,6.15,19.5,7.14,25.5,7.42,21.5,7.21,21.5,107.5,7.06,
22031A0227,6.23,19.5,0.0,7.5,0.0,19.5,0.0,18.5,0.0,18.5,83.5,0.0,********
22031A0228,6.15,19.5,0.0,16.5,7.57,25.5,0.0,18.5,6.88,21.5,101.5,0.0,**
22031A0229,0.0,13.5,0.0,7.5,0.0,19.5,0.0,18.5,,,59.0,0.0,***
22031A0301,6.77,19.5,6.69,19.5,0.0,19.5,6.91,21.5,7.51,21.5,101.5,0.0,***
22031A0302,0.0,7.5,0.0,4.5,0.0,13.5,0.0,15.5,,,41.0,0.0,**
22031A0303,6.38,19.5,5.85,19.5,7.06,25.5,0.0,15.5,7.0,21.5,101.5,0.0,*****
22031A0304,6.23,19.5,6.23,19.5,7.45,25.5,6.74,21.5,7.42,21.5,107.5,6.86,***
22031A0305,0.0,16.5,0.0,16.5,6.98,25.5,6.67,21.5,6.74,21.5,101.5,0.0,*********
22031A0306,0.0,13.5,0.0,13.5,0.0,19.5,0.0,15.5,0.0,18.5,80.5,0.0,********
22031A0307,7.77,19.5,6.92,19.5,7.25,25.5,8.26,21.5,7.56,21.5,107.5,7.55,
22031A0308,0.0,10.5,0.0,7.5,0.0,16.5,0.0,12.5,0.0,12.5,59.5,0.0,*******
22031A0309,0.0,16.5,0.0,16.5,0.0,19.5,0.0,18.5,6.93,21.5,92.5,0.0,*****
22031A0310,7.15,19.5,6.23,19.5,7.62,19.5,0.0,15.5,0.0,15.5,89.5,0.0,***
22031A0311,6.69,19.5,5.69,19.5,7.41,25.5,0.0,15.5,7.19,21.5,101.5,0.0,****
22031A0312,6.0,19.5,0.0,16.5,7.1,25.5,7.6,21.5,0.0,18.5,101.5,0.0,******
22031A0313,6.54,19.5,6.08,19.5,0.0,19.5,0.0,18.5,7.05,21.5,98.5,0.0,***
22031A0401,6.15,19.5,6.31,19.5,6.51,25.5,6.12,21.5,6.72,21.5,107.5,6.37,*****
22031A0402,5.62,19.5,0.0,10.5,0.0,13.5,0.0,12.5,0.0,12.5,68.5,0.0,*******
22031A0403,6.31,19.5,6.85,19.5,7.86,25.5,7.4,21.5,7.91,21.5,107.5,7.31,**
22031A0404,6.31,19.5,6.31,19.5,7.24,25.5,6.0,21.5,7.19,21.5,107.5,6.64,***
22031A0405,0.0,7.5,0.0,13.5,0.0,13.5,0.0,15.5,0.0,16.5,66.5,0.0,**********
22031A0406,8.08,19.5,8.85,19.5,8.51,25.5,7.95,21.5,8.33,21.5,107.5,8.35,
22031A0407,0.0,0.0,,,,,,,,,0.0,0.0,*
22031A0408,8.15,19.5,8.46,19.5,8.75,25.5,8.65,21.5,8.67,21.5,107.5,8.55,
22031A0409,6.23,19.5,6.31,19.5,6.78,25.5,6.6,21.5,7.42,21.5,107.5,6.69,
22031A0410,7.77,19.5,8.85,19.5,8.75,25.5,8.42,21.5,8.23,21.5,107.5,8.42,
22031A0411,0.0,10.5,,,0.0,10.5,0.0,9.5,,,30.5,0.0,***
22031A0412,6.92,19.5,7.54,19.5,7.63,25.5,6.98,21.5,7.14,21.5,107.5,7.26,*
22031A0413,6.46,19.5,0.0,16.5,6.75,25.5,6.28,21.5,0.0,18.5,101.5,0.0,*****
22031A0415,0.0,13.5,0.0,13.5,0.0,22.5,5.86,21.5,6.67,21.5,92.5,0.0,*******
22031A0416,7.38,19.5,7.54,19.5,7.43,25.5,7.26,21.5,7.88,21.5,107.5,7.5,
22031A0417,0.0,16.5,0.0,7.5,0.0,19.5,0.0,15.5,0.0,15.5,74.5,0.0,**********
22031A0418,0.0,10.5,0.0,16.5,0.0,16.5,0.0,12.5,0.0,15.5,71.5,0.0,*******
22031A0419,5.69,19.5,6.15,19.5,6.57,25.5,7.05,21.5,7.23,21.5,107.5,6.56,*******
22031A0420,7.38,19.5,8.23,19.5,7.49,25.5,7.33,21.5,7.63,21.5,107.5,7.6,*
22031A0421,7.54,19.5,7.77,19.5,7.37,25.5,7.65,21.5,6.93,21.5,107.5,7.44,
22031A0422,0.0,16.5,5.69,19.5,0.0,19.5,0.0,18.5,0.0,18.5,92.5,0.0,********
22031A0423,0.0,13.5,0.0,13.5,0.0,19.5,6.19,21.5,6.56,21.5,89.5,0.0,*******
22031A0424,6.15,19.5,0.0,16.5,0.0,19.5,0.0,12.5,0.0,15.5,83.5,0.0,*********
22031A0425,0.0,16.5,6.15,19.5,0.0,10.5,0.0,15.5,5.63,21.5,83.5,0.0,*********
22031A0426,5.92,19.5,5.85,19.5,0.0,19.5,0.0,15.5,0.0,18.5,92.5,0.0,****
22031A0427,6.15,19.5,6.08,19.5,0.0,22.5,0.0,18.5,0.0,19.5,99.5,0.0,*******
