ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,Total Credits,CGPA,Supplementary Appearances
23031A0101,5.98,20.5,6.69,19.5,0.0,17.0,57.0,0.0,*
23031A0102,0.0,8.5,0.0,13.5,0.0,17.0,39.0,0.0,**
23031A0103,6.51,20.5,6.31,19.5,6.72,20.0,60.0,6.51,***
23031A0104,0.0,14.5,0.0,10.5,0.0,14.0,39.0,0.0,**
23031A0105,0.0,5.5,0.0,5.5,0.0,8.0,19.0,0.0,**
23031A0106,0.0,17.5,0.0,16.5,6.98,20.0,54.0,0.0,***
23031A0107,6.49,20.5,0.0,16.5,0.0,17.0,54.0,0.0,***
23031A0108,6.9,20.5,7.97,19.5,0.0,17.0,57.0,0.0,**
23031A0109,0.0,14.5,0.0,13.5,0.0,14.0,42.0,0.0,***
23031A0110,7.1,20.5,7.31,19.5,7.5,20.0,60.0,7.3,*
23031A0111,0.0,11.5,0.0,7.5,0.0,14.0,33.0,0.0,***
23031A0112,0.0,11.5,0.0,10.5,0.0,14.0,36.0,0.0,***
23031A0113,0.0,17.5,0.0,13.5,7.18,20.0,51.0,0.0,***
23031A0114,0.0,14.5,0.0,16.5,6.5,20.0,51.0,0.0,***
23031A0115,0.0,14.5,0.0,10.5,6.28,20.0,45.0,0.0,***
23031A0116,0.0,8.5,0.0,10.5,0.0,14.0,33.0,0.0,***
23031A0117,0.0,17.5,0.0,15.5,0.0,17.0,50.0,0.0,***
23031A0118,0.0,8.5,0.0,10.5,0.0,11.0,30.0,0.0,*
23031A0119,0.0,14.5,,,,,14.5,0.0,*
23031A0120,6.73,20.5,6.74,19.5,7.12,20.0,60.0,6.86,**
23031A0121,6.85,20.5,0.0,16.5,7.35,20.0,57.0,0.0,***
23031A0122,0.0,17.5,0.0,16.5,7.05,20.0,54.0,0.0,***
23031A0123,6.73,20.5,6.36,19.5,0.0,17.0,57.0,0.0,**
23031A0124,0.0,8.5,0.0,10.5,0.0,14.0,33.0,0.0,***
23031A0125,0.0,5.5,0.0,4.5,0.0,14.0,24.0,0.0,***
23031A0126,0.0,11.5,0.0,9.5,6.4,20.0,41.0,0.0,***
23031A0127,7.17,20.5,6.51,19.5,7.42,20.0,60.0,7.04,*
23031A0128,0.0,11.5,0.0,13.5,0.0,17.0,42.0,0.0,***
23031A0129,7.0,20.5,6.64,19.5,7.42,20.0,60.0,7.02,**
23031A0130,0.0,14.5,0.0,13.5,0.0,11.0,39.0,0.0,***
23031A0201,6.85,19.5,0.0,17.5,0.0,17.0,54.0,0.0,*
23031A0202,0.0,16.5,0.0,14.5,0.0,17.0,48.0,0.0,***
23031A0203,6.41,19.5,0.0,14.5,0.0,17.0,51.0,0.0,***
23031A0204,0.0,6.5,0.0,8.5,,,15.0,0.0,***
23031A0205,8.08,19.5,6.85,20.5,7.38,20.0,60.0,7.43,
23031A0206,6.77,19.5,6.2,20.5,0.0,17.0,57.0,0.0,
23031A0207,6.23,19.5,5.98,20.5,0.0,17.0,57.0,0.0,**
23031A0208,0.0,16.5,0.0,14.5,0.0,11.0,42.0,0.0,***
23031A0209,0.0,16.5,0.0,5.5,0.0,11.0,33.0,0.0,***
23031A0210,8.05,19.5,7.54,20.5,7.7,20.0,60.0,7.76,
23031A0211,8.49,19.5,8.39,20.5,8.35,20.0,60.0,8.41,
23031A0212,6.67,19.5,0.0,17.5,0.0,17.0,54.0,0.0,*
23031A0213,7.44,19.5,7.07,20.5,0.0,14.0,54.0,0.0,
23031A0214,7.18,19.5,6.71,20.5,0.0,17.0,57.0,0.0,
23031A0215,7.0,19.5,6.15,20.5,6.68,20.0,60.0,6.6,*
23031A0216,6.33,19.5,6.63,20.5,6.68,20.0,60.0,6.55,*
23031A0217,0.0,14.5,0.0,11.5,0.0,14.0,40.0,0.0,***
23031A0218,0.0,16.5,0.0,5.5,0.0,11.0,33.0,0.0,**
23031A0219,0.0,9.5,0.0,5.5,0.0,5.0,20.0,0.0,***
23031A0220,0.0,13.5,6.05,20.5,0.0,8.0,42.0,0.0,***
23031A0221,0.0,10.5,0.0,8.5,0.0,17.0,36.0,0.0,***
23031A0222,0.0,16.5,0.0,14.5,0.0,11.0,42.0,0.0,***
23031A0223,6.9,19.5,0.0,17.5,0.0,17.0,54.0,0.0,***
23031A0224,7.85,19.5,6.24,20.5,0.0,14.0,54.0,0.0,**
23031A0225,7.18,19.5,0.0,17.5,7.22,20.0,57.0,0.0,*
23031A0226,7.49,19.5,6.98,20.5,7.15,20.0,60.0,7.2,
23031A0227,0.0,15.5,0.0,8.5,0.0,17.0,41.0,0.0,**
23031A0228,7.36,19.5,7.27,20.5,6.62,20.0,60.0,7.08,*
23031A0229,7.18,19.5,0.0,17.5,6.15,20.0,57.0,0.0,*
23031A0230,0.0,16.5,0.0,11.5,0.0,8.0,36.0,0.0,***
23031A0231,8.62,19.5,7.27,20.5,8.2,20.0,60.0,8.02,
