ID,Subject Code,Subject Name,Grade,Credits
21031A0101,R204101,DESIGN AND ANALYSIS OF ALGORITHMS,D,3.0
21031A0101,R204102,OPERATING SYSTEMS,E,3.0
21031A0101,R204103,SOFTWARE ENGINEERING,D,3.0
21031A0101,R204104,COMPUTER NETWORKS,C,3.0
21031A0101,R204105,FORMAL LANGUAGES AND AUTOMATA THEORY,E,2.0
21031A0101,R204106,OPERATING SYSTEMS LAB,A,1.5
21031A0101,R204107,COMPUTER NETWORKS LAB,A,1.5
21031A0101,R204108,SOFTWARE ENGINEERING LAB,B,1.5
21031A0102,R204101,DESIGN AND ANALYSIS OF ALGORITHMS,A,3.0
21031A0102,R204102,OPERATING SYSTEMS,A,3.0
21031A0102,R204103,SOFTWARE ENGINEERING,A,3.0
21031A0102,R204104,COMPUTER NETWORKS,B,3.0
21031A0102,R204105,FORMAL LANGUAGES AND AUTOMATA THEORY,A,2.0
21031A0102,R204106,OPERATING SYSTEMS LAB,A+,1.5
21031A0102,R204107,COMPUTER NETWORKS LAB,A+,1.5
21031A0102,R204108,SOFTWARE ENGINEERING LAB,A+,1.5
21031A0103,R204101,DESIGN AND ANALYSIS OF ALGORITHMS,B,3.0
21031A0103,R204102,OPERATING SYSTEMS,B,3.0
21031A0103,R204103,SOFTWARE ENGINEERING,B,3.0
21031A0103,R204104,COMPUTER NETWORKS,C,3.0
21031A0103,R204105,FORMAL LANGUAGES AND AUTOMATA THEORY,B,2.0
21031A0103,R204106,OPERATING SYSTEMS LAB,A,1.5
21031A0103,R204107,COMPUTER NETWORKS LAB,A+,1.5
21031A0103,R204108,SOFTWARE ENGINEERING LAB,A,1.5
21031A0104,R204101,DESIGN AND ANALYSIS OF ALGORITHMS,A+,3.0
21031A0104,R204102,OPERATING SYSTEMS,A+,3.0
21031A0104,R204103,SOFTWARE ENGINEERING,A,3.0
21031A0104,R204104,COMPUTER NETWORKS,A,3.0
21031A0104,R204105,FORMAL LANGUAGES AND AUTOMATA THEORY,A+,2.0
21031A0104,R204106,OPERATING SYSTEMS LAB,A+,1.5
21031A0104,R204107,COMPUTER NETWORKS LAB,A+,1.5
21031A0104,R204108,SOFTWARE ENGINEERING LAB,A+,1.5
