category,roll_number,cgpa
overall,24031A0438,9.2
overall,24031A0441,9.1
overall,24031A0521,9.1
overall,24031A0547,9.1
overall,24031A0549,9.08
overall,24031A0515,8.86
overall,24031A0419,8.79
overall,24031A0550,8.7
overall,24031A0434,8.66
overall,24031A0449,8.59
ce,24031A0128,7.93
ce,24031A0117,7.86
ce,24031A0112,7.58
ce,24031A0103,7.52
ce,24031A0136,7.32
ce,24031A0106,6.8
ce,24031A0137,6.56
ce,24031A0116,6.47
ce,24031A0104,6.04
ce,24031A0132,6.01
eee,24031A0229,7.91
eee,24031A0220,7.9
eee,24031A0241,7.86
eee,24031A0240,7.81
eee,24031A0226,7.64
eee,24031A0223,7.62
eee,24031A0250,7.6
eee,24031A0230,7.36
eee,24031A0256,7.21
eee,24031A0247,7.19
mec,24031A0321,7.71
mec,24031A0330,7.05
mec,24031A0346,7.0
mec,24031A0302,6.96
mec,24031A0307,6.93
mec,24031A0312,6.75
mec,24031A0315,6.57
mec,24031A0316,6.54
mec,24031A0332,6.05
mec,24031A0304,0.0
ece,24031A0438,9.2
ece,24031A0441,9.1
ece,24031A0419,8.79
ece,24031A0434,8.66
ece,24031A0449,8.59
ece,24031A0446,8.42
ece,24031A0457,8.41
ece,24031A0416,8.32
ece,24031A0411,8.18
ece,24031A0454,8.13
cse,24031A0521,9.1
cse,24031A0547,9.1
cse,24031A0549,9.08
cse,24031A0515,8.86
cse,24031A0550,8.7
cse,24031A0544,8.56
cse,24031A0513,8.52
cse,24031A0539,8.42
cse,24031A0540,8.35
cse,24031A0535,8.35
